Patronyme,patronyme_prepare,domaine d'activité,image,langue maternelle,lieu de mort,lieu de naissance,occupation,pays de nationalité,sexe ou genre,date de naissance,date de mort
MAREUIL-SUR-AY,MAREUILSURAY,,,,,,,,,,
LES BOTTERETS,LES BOTTERETS,,,,,,,,,,
BARTHOU,Louis Barthou,,Louis Barthou 01.jpg,,Marseille,Oloron-Sainte-Marie,personnalité politique,France,masculin,1862-08-25T00:00:00Z,1934-10-09T00:00:00Z
JARDELLE,JARDELLE,,,,,,,,,,
DOCTEUR ROUX,Émile Roux,médecine,Pierre Paul Émile Roux 2.jpg,,Paris,Confolens,bactériologiste,France,masculin,1853-12-17T00:00:00Z,1933-11-03T00:00:00Z
SAINTE MADELEINE,Marie de Magdala,,Philippe de Champaigne - The Repentant Magdalen - Google Art Project.jpg,,Éphèse,Magdala,aidant,,féminin,,0100-01-01T00:00:00Z
GALLIENI,GALLIENI,,,,,,,,,,
JEAN MACE / ROSSET,JEAN MACE / ROSSET,,,,,,,,,,
JEANNE D ARC,Jeanne d'Arc,,Contemporaine afb jeanne d arc.png,moyen français,Rouen,Domrémy-la-Pucelle,militaire,royaume de France,féminin,1412-01-01T00:00:00Z,1431-05-30T00:00:00Z
DANUBE,DANUBE,,,,,,,,,,
JOLIOT-CURIE,Irène Joliot-Curie,chimie,Joliot-curie.jpg,,Paris,13e arrondissement de Paris,physicien ou physicienne,France,féminin,1897-09-12T00:00:00Z,1956-03-17T00:00:00Z
JEAN D'AULAN,Jean Harouard de Suarez d'Aulan,,Aulan-jean la vie rémoise.jpg,,Heidwiller,Savasse,personnalité du monde des affaires,France,masculin,1900-11-20T00:00:00Z,1944-10-08T00:00:00Z
EMILE ZOLA,Émile Zola,littérature,Emile Zola 1902.jpg,français,9e arrondissement de Paris,rue Saint-Joseph,correspondant politique,France,masculin,1840-04-02T00:00:00Z,1902-09-29T00:00:00Z
MAISON BLANCHE,MAISON BLANCHE,,,,,,,,,,
JAMIN,JAMIN,,,,,,,,,,
ANQUETIL,Jacques Anquetil,cyclisme,Jacques Anquetil 1963.jpg,,Rouen,Mont-Saint-Aignan,coureur cycliste,France,masculin,1934-01-08T00:00:00Z,1987-11-18T00:00:00Z
SAINT LOUIS,SAINT LOUIS,,,,,,,,,,
EUROPE ADRIATIQUE,EUROPE ADRIATIQUE,,,,,,,,,,
TOURNEBONNEAU,TOURNEBONNEAU,,,,,,,,,,
POMMERY,POMMERY,,,,,,,,,,
CARTERET,CARTERET,,,,,,,,,,
MOUGNE TIXIER,MOUGNE TIXIER,,,,,,,,,,
LA PROVIDENCE,LA PROVIDENCE,,,,,,,,,,
RAOUL DUFY/CAVARROT,RAOUL DUFY/CAVARROT,,,,,,,,,,
SAINTE JEANNE D'ARC,SAINTE JEANNE D'ARC,,,,,,,,,,
ROBERT LANCELOT,Robert Lancelot Ievers,,,,,,travailleur humanitaire,,masculin,1854-01-01T00:00:00Z,1910-01-01T00:00:00Z
ANTOINE DE ST EXUPERY,Antoine de Saint-Exupéry,belles-lettres,11exupery-inline1-500.jpg,français,île de Riou,2e arrondissement de Lyon,aviateur ou aviatrice,France,masculin,1900-06-29T00:00:00Z,1944-07-31T00:00:00Z
RIMBAUD BAUDELAIRE,RIMBAUD BAUDELAIRE,,,,,,,,,,
JACQUES ADNET,Jacques Adnet,arts visuels,,,16e arrondissement de Paris,Châtillon-Coligny,architecte,France,masculin,1900-04-20T00:00:00Z,1984-10-29T00:00:00Z
PIERRE ET MARIE CURIE,PIERRE ET MARIE CURIE,,,,,,,,,,
DU HAMOIS LOUIS PASTEUR,DU HAMOIS LOUIS PASTEUR,,,,,,,,,,
MONT BERJON,MONT BERJON,,,,,,,,,,
GASTON BUARD,GASTON BUARD,,,,,,,,,,
AU PIED DES CHAMPS,AU PIED DES CHAMPS,,,,,,,,,,
INTERCOMMUNALE,INTERCOMMUNALE,,,,,,,,,,
GROUPE SCOLAIRE DU SCHLOTTEN,DU SCHLOTTEN,,,,,,,,,,
VALLEE,VALLEE,,,,,,,,,,
LES GRIBOUILLES,LES GRIBOUILLES,,,,,,,,,,
.,.,,,,,,,,,,
LES PRUNELLIERS,LES PRUNELLIERS,,,,,,,,,,
FOCH,Ferdinand Foch,,"Ferdinand Foch by Melcy, 1921.png",,Paris,Tarbes,officier,France,masculin,1851-10-02T00:00:00Z,1929-03-20T00:00:00Z
ERLENBERG,ERLENBERG,,,,,,,,,,
EX IMBSHEIM,EX IMBSHEIM,,,,,,,,,,
LES REMPARTS,LES REMPARTS,,,,,,,,,,
MAURICE KATIA KRAFFT,MAURICE KATIA KRAFFT,,,,,,,,,,
DES REMPARTS,DES REMPARTS,,,,,,,,,,
HAMEAU DE NEUBOURG,HAMEAU DE NEUBOURG,,,,,,,,,,
MOLIERE,Molière,théâtre,Pierre Mignard - Portrait de Jean-Baptiste Poquelin dit Molière (1622-1673) - Google Art Project (cropped).jpg,français,Paris,Paris,dramaturge,royaume de France,masculin,1622-01-15T00:00:00Z,1673-02-17T00:00:00Z
JACQUES GACHOT LA FARANDOLE,JACQUES GACHOT LA FARANDOLE,,,,,,,,,,
JEAN HANS ARP,Jean Arp,,Hans Arp.JPG,français,Bâle,Strasbourg,artiste peintre,France,masculin,1886-09-16T00:00:00Z,1966-06-07T00:00:00Z
LE REHTHAL,LE REHTHAL,,,,,,,,,,
DU GIESSEN,DU GIESSEN,,,,,,,,,,
LE BITZIG,LE BITZIG,,,,,,,,,,
LES CIGOGNES,LES CIGOGNES,,,,,,,,,,
LES P'TITS LUPINS MARIENTHAL,LES P'TITS LUPINS MARIENTHAL,,,,,,,,,,
SAINT-GEORGES,SAINTGEORGES,,,,,,,,,,
HAMEAU DE HARTHOUSE,HAMEAU DE HARTHOUSE,,,,,,,,,,
RIED,RIED,,,,,,,,,,
LES COURLIS,LES COURLIS,,,,,,,,,,
HEYLER,HEYLER,,,,,,,,,,
GROUPE SCOLAIRE DU GOEFTBERG,DU GOEFTBERG,,,,,,,,,,
ETS INTC,ETS INTC,,,,,,,,,,
NORD,NORD,,,,,,,,,,
ADELAIDE HAUTVAL,Adélaïde Hautval,,,,Groslay,Le Hohwald,psychiatre,France,féminin,1906-01-01T00:00:00Z,1988-10-12T00:00:00Z
JULES VERNE,Jules Verne,forme dramatique,Félix Nadar 1820-1910 portraits Jules Verne.jpg,français,Amiens,Nantes,romancier ou romancière,France,masculin,1828-02-08T00:00:00Z,1905-03-24T00:00:00Z
JEAN-JACQUES ROHFRITSCH,JEANJACQUES ROHFRITSCH,,,,,,,,,,
JEAN-MICHEL FETSCH,JEANMICHEL FETSCH,,,,,,,,,,
GROUPE SCOLAIRE L'AVENIR,L'AVENIR,,,,,,,,,,
LES PRES,LES PRES,,,,,,,,,,
JULES HOFFMANN,Jules A. Hoffmann,immunologie,Nobel Prize 2011-Press Conference KI-DSC 7584.jpg,,,Echternach,biologiste,France,masculin,1941-08-02T00:00:00Z,
HONCOURT,HONCOURT,,,,,,,,,,
APLHONSE DAUDET,APLHONSE DAUDET,,,,,,,,,,
JEAN-DANIEL ROEDERER,JEANDANIEL ROEDERER,,,,,,,,,,
LECLERC,LECLERC,,,,,,,,,,
GROUPE SCOLAIRE RENE SCHICKELE,René Schickele,,René Schickele (1883-1940).jpg,français,Vence,Obernai,écrivain ou écrivaine,France,masculin,1883-08-04T00:00:00Z,1940-01-31T00:00:00Z
GROUPE SCOLAIRE F.BRION,F.BRION,,,,,,,,,,
SARAH BANZET,SARAH BANZET,,,,,,,,,,
LES PETITS MATELOTS,LES PETITS MATELOTS,,,,,,,,,,
JEAN RACINE,Jean Racine,,Jean racine.jpg,français,Paris,La Ferté-Milon,dramaturge,royaume de France,masculin,1639-12-01T00:00:00Z,1699-04-21T00:00:00Z
GROUPE SCOLAIRE DU ROSENMEER,DU ROSENMEER,,,,,,,,,,
DU KALTENBACH,DU KALTENBACH,,,,,,,,,,
LES PERDRIX,LES PERDRIX,,,,,,,,,,
GRAVIERE,GRAVIERE,,,,,,,,,,
ECOLE BILINGUE,BILINGUE,,,,,,,,,,
ETS CATH,ETS CATH,,,,,,,,,,
PFOELLER,PFOELLER,,,,,,,,,,
INTERCOMMUNALE LES 3 VILLAGES,INTERCOMMUNALE LES 3 VILLAGES,,,,,,,,,,
LA MARELLE,LA MARELLE,,,,,,,,,,
LE GYPSBERG,LE GYPSBERG,,,,,,,,,,
PESTALOZZI,Johann Heinrich Pestalozzi,pédagogie,"Johann Heinrich Pestalozzi (Real Academia de Bellas Artes de San Fernando, Madrid).jpg",,Brugg,Zurich,pédagogue,Suisse,masculin,1746-01-12T00:00:00Z,1827-02-17T00:00:00Z
QUARTIER OUEST,QUARTIER OUEST,,,,,,,,,,
DE LA FONTAINE,DE LA FONTAINE,,,,,,,,,,
DANNENBERGER,DANNENBERGER,,,,,,,,,,
LES COQUELICOTS,LES COQUELICOTS,,,,,,,,,,
SAINT-JEAN,SAINTJEAN,,,,,,,,,,
JEAN BAPTISTE SCHWILGUE,Jean-Baptiste Schwilgué,,Schwilgué.jpg,,Strasbourg,Strasbourg,horloger ou horlogère,France,masculin,1776-12-18T00:00:00Z,1856-12-05T00:00:00Z
RHIN,RHIN,,,,,,,,,,
LOUVOIS,François Michel Le Tellier de Louvois,,"Portrait of François-Michel le Tellier, Marquis de Louvois (1641–1691), by After Jacob Ferdinand Voet - Château de Versailles.jpg",,Versailles,Paris,personnalité politique,France,masculin,1641-01-18T00:00:00Z,1691-07-16T00:00:00Z
NIEDERAU,NIEDERAU,,,,,,,,,,
STOCKFELD,STOCKFELD,,,,,,,,,,
JOIE DE VIVRE,JOIE DE VIVRE,,,,,,,,,,
GUSTAVE DORE,Gustave Doré,peinture,"Photograph of Gustave Doré by Nadar, between 1856 and 1858.jpg",,7e arrondissement de Paris,Strasbourg,artiste peintre,France,masculin,1832-01-06T00:00:00Z,1883-01-23T00:00:00Z
POURTALES,James-Alexandre de Pourtalès,,James Alexandre de Pourtalès (1776-1855).jpg,,Paris,Neuchâtel,collectionneur ou collectionneuse d'œuvres d'art,royaume de Prusse,masculin,1776-11-28T00:00:00Z,1855-03-24T00:00:00Z
COURS TACHBAR,COURS TACHBAR,,,,,,,,,,
ALBERT LE GRAND,Albert le Grand,philosophie,"Tommaso da modena, ritratti di domenicani (vescovo) 1352 150cm, treviso, ex convento di san niccolò, sala del capitolo.jpg",,Cologne,Lauingen,chimiste,Saint-Empire romain germanique,masculin,1200-01-01T00:00:00Z,1280-11-15T00:00:00Z
LEONARD DE VINCI,Léonard de Vinci,architecture de la Renaissance,Francesco Melzi - Portrait of Leonardo.png,italien,château du Clos Lucé,Anchiano,artiste peintre,République florentine,masculin,1452-04-15T00:00:00Z,1519-05-02T00:00:00Z
MARGUERITE PEREY,Marguerite Perey,physique,Marguerite Perey - portrait.jpg,,Louveciennes,Chicago,physicien ou physicienne,France,féminin,1909-10-19T00:00:00Z,1975-05-13T00:00:00Z
INSTITUTION LA PROVIDENCE,LA PROVIDENCE,,,,,,,,,,
INSTITUTION NOTRE DAME DE SION,NOTRE DAME DE SION,,,,,,,,,,
JEAN-BAPTISTE SCHWILGUE,JEANBAPTISTE SCHWILGUE,,,,,,,,,,
ABCM ZWEISPRACHIGKEIT,ABCM ZWEISPRACHIGKEIT,,,,,,,,,,
GUYNEMER II,GUYNEMER II,,,,,,,,,,
MARCELLE CAHN,Marcelle Cahn,peinture,Marcelle Cahn.png,,Neuilly-sur-Seine,Strasbourg,artiste peintre,France,féminin,1895-03-01T00:00:00Z,1981-09-20T00:00:00Z
ACADEMIE,ACADEMIE,,,,,,,,,,
SAINTE CLOTILDE,SAINTE CLOTILDE,,,,,,,,,,
GUYNEMER I,GUYNEMER I,,,,,,,,,,
RODOLPHE REUSS 2,RODOLPHE REUSS 2,,,,,,,,,,
JEAN FISCHART,Johann Fischart,littérature de langue allemande,Johann fischart.hut.jpg,,Forbach,Strasbourg,juriste-poète,Allemagne,masculin,1546-01-01T00:00:00Z,1590-01-01T00:00:00Z
CAMILLE CLAUS,Camille Claus,,CAMILLE CLAUS.jpg,,Strasbourg,Strasbourg,artiste peintre,France,masculin,1920-09-30T00:00:00Z,2005-07-02T00:00:00Z
LEZAY MARNESIA,Adrien de Lezay-Marnésia,,Adrien de Lezay-Marnésia.jpg,,Haguenau,Moutonne,diplomate,France,masculin,1769-08-09T00:00:00Z,1814-10-09T00:00:00Z
HOHBERG,HOHBERG,,,,,,,,,,
PAUL LANGEVIN,PAUL LANGEVIN,,,,,,,,,,
PIERRE PFLIMLIN,Pierre Pflimlin,,Pierre Pflimlin par Claude Truong-Ngoc 1975.jpg,français,Strasbourg,Roubaix,personnalité politique,France,masculin,1907-02-05T00:00:00Z,2000-06-27T00:00:00Z
GROUPE SCOLAIRE,,,,,,,,,,,
PHILIPPE CHRETIEN SCHWEITZER,Charles Chrétien Philippe Schweitzer,,,,,,enseignant ou enseignante,,masculin,1817-01-01T00:00:00Z,1900-01-01T00:00:00Z
EUROPE,EUROPE,,,,,,,,,,
ENTRE ILL ET RHIN,ENTRE ILL ET RHIN,,,,,,,,,,
JEANNE MEYER,Marie-Jeanne Meyer,,,,,,personnalité du monde des affaires,France,féminin,1942-01-01T00:00:00Z,
DES 2 ASPACH-MICHELBACH,DES 2 ASPACHMICHELBACH,,,,,,,,,,
BALSCHWILLER-BUETHWILLER-EGLIN,BALSCHWILLERBUETHWILLEREGLIN,,,,,,,,,,
LES LILAS,LES LILAS,,,,,,,,,,
PRIMAIRE JULES FERRY,Jules Ferry,,Julesferry.jpg,français,8e arrondissement de Paris,Saint-Dié-des-Vosges,personnalité politique,France,masculin,1832-04-05T00:00:00Z,1893-03-17T00:00:00Z
CHATEAU,CHATEAU,,,,,,,,,,
LES LUTINS,LES LUTINS,,,,,,,,,,
ECOLE PRIMAIRE PUBLIQUE,PUBLIQUE,,,,,,,,,,
PREVERT ET BESENVAL,PREVERT ET BESENVAL,,,,,,,,,,
LES GERANIUMS,LES GERANIUMS,,,,,,,,,,
ST JOSEPH,ST JOSEPH,,,,,,,,,,
INSTITUT DE L'ASSOMPTION,INSTITUT DE L'ASSOMPTION,,,,,,,,,,
LES MARGUERITES,LES MARGUERITES,,,,,,,,,,
ANNE FRANK,Anne Frank,journal intime,Anne Frank (cropped).jpg,allemand,Bergen-Belsen,Maingau Clinic of the Red Cross,diariste,Troisième Reich,féminin,1929-06-12T00:00:00Z,1945-02-01T00:00:00Z
LA SIRENE DE L'ILL,LA SIRENE DE L'ILL,,,,,,,,,,
INTERC. LE PETIT PRINCE,INTERC. LE PETIT PRINCE,,,,,,,,,,
BISCHWIHR (INTERC),BISCHWIHR (INTERC),,,,,,,,,,
LES TROIS TILLEULS,LES TROIS TILLEULS,,,,,,,,,,
JEANNE BUCHER,Jeanne Bucher,,Jeanne Bucher janvier 1931 T.Bonney.jpg,,Paris,Guebwiller,marchand ou marchande d'art,France,féminin,1872-02-16T00:00:00Z,1946-11-01T00:00:00Z
NATHAN KATZ,Nathan Katz,,Nathan Katz.jpg,français,Mulhouse,Waldighoffen,colporteur,France,masculin,1892-12-24T00:00:00Z,1981-01-12T00:00:00Z
ALPHONSE DAUDET,Alphonse Daudet,traductions de l'occitan,Alphonse Daudet 2.jpg,français,Paris,Nîmes,écrivain ou écrivaine,France,masculin,1840-05-13T00:00:00Z,1897-12-16T00:00:00Z
KOECHLIN,Jean Koechlin,,,,,,botaniste,,masculin,1926-01-01T00:00:00Z,2009-01-01T00:00:00Z
GROUPE SCOLAIRE PAUL FUCHS,PAUL FUCHS,,,,,,,,,,
LA CLAIRIERE,LA CLAIRIERE,,,,,,,,,,
LES PAQUERETTES,LES PAQUERETTES,,,,,,,,,,
ROBERT DESNOS,Robert Desnos,,Robert Desnos.jpg,français,camp de concentration de Theresienstadt,11e arrondissement de Paris,poète ou poétesse,France,masculin,1900-07-04T00:00:00Z,1945-06-08T00:00:00Z
P. GRIMM,Petra Grimm,média numérique,,,,Munich,expert médiatique,,féminin,1962-01-01T00:00:00Z,
LES CRECELLES,LES CRECELLES,,,,,,,,,,
LE VILLAGE DES ENFANTS,LE VILLAGE DES ENFANTS,,,,,,,,,,
STRUETH,STRUETH,,,,,,,,,,
INSTITUT DON BOSCO,INSTITUT DON BOSCO,,,,,,,,,,
LES CHEVREUILS,LES CHEVREUILS,,,,,,,,,,
CHARLES ZUMSTEIN,Charles Zumstein,,,,Magstatt-le-Bas,Magstatt-le-Bas,poète ou poétesse,France,masculin,1867-01-30T00:00:00Z,1963-02-26T00:00:00Z
LES ABEILLES,LES ABEILLES,,,,,,,,,,
MONTAVONT,MONTAVONT,,,,,,,,,,
CHARLES PERRAULT,Charles Perrault,littérature française,Portrait de Charles Perrault par Charles Le Brun (détail).jpg,français,Paris,Paris,écrivain ou écrivaine,royaume de France,masculin,1628-01-12T00:00:00Z,1703-05-16T00:00:00Z
LOUIS PERGAUD 2,LOUIS PERGAUD 2,,,,,,,,,,
NORDFELD,NORDFELD,,,,,,,,,,
JEAN DE LOISY,JEAN DE LOISY,,,,,,,,,,
FRANCOIS FREY,FRANCOIS FREY,,,,,,,,,,
LA WANNE,LA WANNE,,,,,,,,,,
DE LA CITE,DE LA CITE,,,,,,,,,,
HENRI REBER,Napoléon Henri Reber,,Nhr.jpg,,Paris,Mulhouse,compositeur ou compositrice,France,masculin,1807-10-21T00:00:00Z,1880-11-24T00:00:00Z
PLEIN CIEL,PLEIN CIEL,,,,,,,,,,
PORTE DU MIROIR,PORTE DU MIROIR,,,,,,,,,,
KLEBER,Jean-Baptiste Kléber,architecture,General Jean Baptiste Kleber (Jean Guérin) - Nationalmuseum - 24145.tif,français,Le Caire,Strasbourg,officier,France,masculin,1753-03-09T00:00:00Z,1800-06-14T00:00:00Z
HENRI MATISSE,Henri Matisse,,Portrait of Henri Matisse 1933 May 20.jpg,français,Nice,Le Cateau-Cambrésis,artiste peintre,France,masculin,1869-12-31T00:00:00Z,1954-11-03T00:00:00Z
SEBASTIEN LE PRESTRE,Sébastien Le Prestre de Vauban,architecture,Vauban.jpg,français,Paris,Saint-Léger-Vauban,architecte,royaume de France,masculin,1633-05-01T00:00:00Z,1707-03-30T00:00:00Z
LE VIEUX NOYER,LE VIEUX NOYER,,,,,,,,,,
KATIA ET MAURICE KRAFFT,KATIA ET MAURICE KRAFFT,,,,,,,,,,
EUGENE WACKER,EUGENE WACKER,,,,,,,,,,
CLEMENCEAU,Georges Clemenceau,,Georges Clemenceau par Nadar.jpg,français,Paris,Mouilleron-en-Pareds,personnalité politique,France,masculin,1841-09-28T00:00:00Z,1929-11-24T00:00:00Z
JEAN MERMOZ,Jean Mermoz,aviation,Jean Mermoz 11.jpg,français,océan Atlantique,Aubenton,aviateur ou aviatrice,France,masculin,1901-12-09T00:00:00Z,1936-12-07T00:00:00Z
BARTHOLDI,Auguste Bartholdi,sculpture,"Bartholdi, Auguste, Nadar, GALLICA.jpg",,6e arrondissement de Paris,Colmar,sculpteur ou sculptrice,France,masculin,1834-08-02T00:00:00Z,1904-10-04T00:00:00Z
INTERCOMMUNALE RIESPACH-FELDBA,INTERCOMMUNALE RIESPACHFELDBA,,,,,,,,,,
LES ROMAINS,LES ROMAINS,,,,,,,,,,
ILE NAPOLEON,ILE NAPOLEON,,,,,,,,,,
LES CERISIERS,LES CERISIERS,,,,,,,,,,
LES ROSEAUX,LES ROSEAUX,,,,,,,,,,
XAVIER GERBER,XAVIER GERBER,,,,,,,,,,
CLE DES CHAMPS,CLE DES CHAMPS,,,,,,,,,,
LES LUCIOLES,LES LUCIOLES,,,,,,,,,,
PETITE CAMARGUE,PETITE CAMARGUE,,,,,,,,,,
SUD,SUD,,,,,,,,,,
LA MOMINETTE,LA MOMINETTE,,,,,,,,,,
WINTZFELDEN,WINTZFELDEN,,,,,,,,,,
MELUSINE,MELUSINE,,,,,,,,,,
AMPFERSBACH,AMPFERSBACH,,,,,,,,,,
ECOLES DE STOSSWIHR,S DE STOSSWIHR,,,,,,,,,,
LINA RITTER,Lina Ritter,,Lina Ritter 2.jpg,français,Fribourg-en-Brisgau,Village-Neuf,poète ou poétesse,France,féminin,1888-05-18T00:00:00Z,1981-02-22T00:00:00Z
LAURETTE VITALLE,LAURETTE VITALLE,,,,,,,,,,
LA MULATRESSE SOLITUDE,Solitude,,"Nicolas Alquin – «Solitude, monument aux esclaves resistants».jpg",,Pointe-à-Pitre,Capesterre-Belle-Eau,résistant ou résistante,France,féminin,1772-01-01T00:00:00Z,1802-11-29T00:00:00Z
CARENAGE,CARENAGE,,,,,,,,,,
CARAQUE,CARAQUE,,,,,,,,,,
MARIE BILLIOTI DE GAGE,MARIE BILLIOTI DE GAGE,,,,,,,,,,
POINTE-A-BACCHUS,POINTEABACCHUS,,,,,,,,,,
FELICITE COLINE LES MANGLES,FELICITE COLINE LES MANGLES,,,,,,,,,,
CIDEME SALVATOR,CIDEME SALVATOR,,,,,,,,,,
FERNANDE BONCHAMPS,FERNANDE BONCHAMPS,,,,,,,,,,
MAURICE ANNEROSE,MAURICE ANNEROSE,,,,,,,,,,
FAUSTIN BARDOCHAN,FAUSTIN BARDOCHAN,,,,,,,,,,
ELISE MONIQUE ICTOI,ELISE MONIQUE ICTOI,,,,,,,,,,
ROBERT NARAYANAN,ROBERT NARAYANAN,,,,,,,,,,
SYLVIANE BLANCARD-JOVIEN,SYLVIANE BLANCARDJOVIEN,,,,,,,,,,
RICHARD PIERROT,RICHARD PIERROT,,,,,,,,,,
MORNE ZIZI,MORNE ZIZI,,,,,,,,,,
BEAUPERTHUY DANIEL,Louis Daniel Beauperthuy,,"Portrait of Louis Daniel Beauperthuy, Wellcome L0006879.jpg",,Guyana,Sainte-Rose,médecin,France,masculin,1807-08-26T00:00:00Z,1871-09-03T00:00:00Z
HUBERTA FERLY,HUBERTA FERLY,,,,,,,,,,
MARIE-AMELIE LEYDET,MARIEAMELIE LEYDET,,,,,,,,,,
ELIANE CLARKE,ELIANE CLARKE,,,,,,,,,,
EVELINA HALLEY,EVELINA HALLEY,,,,,,,,,,
BOURG 1 TROIS -RIVIERES,BOURG 1 TROIS RIVIERES,,,,,,,,,,
LUCKNER D'ABREU,LUCKNER D'ABREU,,,,,,,,,,
LEOPOLD HEDER,Léopold Héder,,,français,Cambo-les-Bains,Cayenne,personnalité politique,France,masculin,1918-08-16T00:00:00Z,1978-06-09T00:00:00Z
ELIE CASTOR,Élie Castor,,,français,Clermont-Ferrand,Cayenne,personnalité politique,France,masculin,1943-04-28T00:00:00Z,1996-06-16T00:00:00Z
FANKO ATJALI A MI,FANKO ATJALI A MI,,,,,,,,,,
MICHEL LOHIER,MICHEL LOHIER,,,,,,,,,,
EUGENE HONORIEN,EUGENE HONORIEN,,,,,,,,,,
MOULIN A VENT,MOULIN A VENT,,,,,,,,,,
JACQUES LONY,Jacques Lony,,,,,,,,masculin,,
JULES MINIDOQUE,JULES MINIDOQUE,,,,,,,,,,
MICHEL DIPP,MICHEL DIPP,,,,,,,,,,
DE CACAO,DE CACAO,,,,,,,,,,
PASCAL JOINVILLE,PASCAL JOINVILLE,,,,,,,,,,
EDOUARD CAMAN,EDOUARD CAMAN,,,,,,,,,,
ALEXANDER MAC INSTOSCH,ALEXANDER MAC INSTOSCH,,,,,,,,,,
ATHIS LATIDINE,ATHIS LATIDINE,,,,,,,,,,
CHEMIN DES DAMES,CHEMIN DES DAMES,,,,,,,,,,
LES TOURNELLES,LES TOURNELLES,,,,,,,,,,
PASTEUR - LES TOURNELLES,PASTEUR  LES TOURNELLES,,,,,,,,,,
HENRI MORELLE,Henri Morelle,,,,,,ingénieur ou ingénieure du son,Belgique,masculin,1953-01-01T00:00:00Z,
LES VAUCRISES-MAUGUINS,LES VAUCRISESMAUGUINS,,,,,,,,,,
STE MARIE MADELEINE,Marie de Magdala,,Philippe de Champaigne - The Repentant Magdalen - Google Art Project.jpg,,Éphèse,Magdala,aidant,,féminin,,0100-01-01T00:00:00Z
HENRI CADET,HENRI CADET,,,,,,,,,,
CHARDONNIER-LEJEUNE,CHARDONNIERLEJEUNE,,,,,,,,,,
ANDRE BOULLOCHE,André Boulloche,,André Boulloche polytechnicien.jpg,,Malsburg-Marzell,7e arrondissement de Paris,personnalité politique,France,masculin,1915-09-07T00:00:00Z,1978-03-16T00:00:00Z
CAPPIGNY,CAPPIGNY,,,,,,,,,,
LA VALLEE DE LA SUIPPE,LA VALLEE DE LA SUIPPE,,,,,,,,,,
ROGER LERAY,Roger Leray,,,,Levallois-Perret,Levallois-Perret,militaire,France,masculin,1921-10-18T00:00:00Z,1991-09-04T00:00:00Z
RENE BIGOT,Etienne René Bigot,,,,Quimper,,architecte,France,masculin,1738-01-01T00:00:00Z,1803-01-01T00:00:00Z
GR. SCOL. RENE HOCQUEMILLER,GR. SCOL. RENE HOCQUEMILLER,,,,,,,,,,
VICTOR SCHOELCHER,Victor Schœlcher,,Victor Schœlcher par Henri Decaisne.jpg,,Houilles,Paris,personnalité politique,France,masculin,1804-07-22T00:00:00Z,1893-12-25T00:00:00Z
LUCIEN MANESSE,LUCIEN MANESSE,,,,,,,,,,
ARMANDE ROUX,ARMANDE ROUX,,,,,,,,,,
DU CENTRE ET PARADIS,DU  ET PARADIS,,,,,,,,,,
JEAN ZAY ET LOUISE MICHEL,JEAN ZAY ET LOUISE MICHEL,,,,,,,,,,
GR.SCOL. JEAN ZAY,GR.SCOL. JEAN ZAY,,,,,,,,,,
CENTRE - JEAN MOULIN - JEAN ME,JEAN MOULIN  JEAN ME,,,,,,,,,,
ILE DE FRANCE,ILE DE FRANCE,,,,,,,,,,
GILBERT LOBJOIS,Gilbert Lobjois,,,,Laon,Sevran,instituteur ou institutrice,France,masculin,1917-09-29T00:00:00Z,1977-07-24T00:00:00Z
GERARD FRISON,GERARD FRISON,,,,,,,,,,
ECOLE DES MARAIS,Jean-Baptiste Frédéric Desmarais,,Ingres Desmarais (D 1952 1).jpg,,Carrare,Paris,artiste peintre,France,masculin,1756-01-01T00:00:00Z,1813-01-01T00:00:00Z
JEAN MACE - JULES FERRY,JEAN MACE  JULES FERRY,,,,,,,,,,
DANIELLE LABARTHE,DANIELLE LABARTHE,,,,,,,,,,
CITEE CHAPPEE,CITEE CHAPPEE,,,,,,,,,,
GEORGES LEFEVRE,Georges Lefèvre,,,,,Auxonne,escrimeur ou escrimeuse,France,masculin,1868-01-01T00:00:00Z,
ALBERT MENNECIER,Albert Mennecier,,Albert mennecier sycomore.jpg,,Aisne,Aisne,personnalité politique,France,masculin,1883-05-17T00:00:00Z,1947-06-15T00:00:00Z
ANDRE VATIN,ANDRE VATIN,,,,,,,,,,
PONT DE GUISE,PONT DE GUISE,,,,,,,,,,
VALLEE DES DEUX CANTONS,VALLEE DES DEUX CANTONS,,,,,,,,,,
JEAN YOLE,Jean Yole,,Mont des Alouettes - Portrait Jean Yole.JPG,français,Vendrennes,Soullans,personnalité politique,France,masculin,1878-09-07T00:00:00Z,1956-11-02T00:00:00Z
SAINTE FAMILLE,SAINTE FAMILLE,,,,,,,,,,
LA GENERAUDIERE,LA GENERAUDIERE,,,,,,,,,,
RIVOLI,RIVOLI,,,,,,,,,,
LEONCE GLUARD,Léonce Gluard,,,,La Roche-sur-Yon,Saint-Sulpice-en-Pareds,personnalité politique,France,masculin,1884-07-03T00:00:00Z,1953-07-30T00:00:00Z
LES PYRAMIDES,LES PYRAMIDES,,,,,,,,,,
ANGELMIERE,ANGELMIERE,,,,,,,,,,
APPLICATION MOULIN ROUGE,APPLICATION MOULIN ROUGE,,,,,,,,,,
MONTJOIE,MONTJOIE,,,,,,,,,,
LA MER,LA MER,,,,,,,,,,
