UAI,Secteur,Nombre d'élèves,Latitude WGS84,Longitude WGS84,Niveau
0660723C,PUBLIC,237,42.6933813705868,2.91236949248447,École
0660896R,PUBLIC,145,42.6995647632463,2.94352421387074,École
0660446B,PUBLIC,130,42.6964774409249,2.76977046277959,École
0660897S,PUBLIC,236,42.7383443169647,2.91345692575605,École
0660761U,PUBLIC,144,42.5183514581831,3.10607812348731,École
0660381F,PUBLIC,48,42.4040192338417,2.48028013953272,École
0660394V,PUBLIC,267,42.7668523705419,2.87339112855216,École
0660288E,PUBLIC,83,42.6558799771774,2.56146215828222,École
0660610E,PUBLIC,45,42.4577133738553,2.03836691273413,École
0660588F,PUBLIC,92,42.5512074068897,2.97004349734933,École
0660554U,PUBLIC,128,42.6250317596378,3.02693265501375,École
0660607B,PUBLIC,139,42.6175469910519,3.00485925771052,École
0660765Y,PUBLIC,288,42.7147697885717,2.8385767777091,École
0660544H,PUBLIC,188,42.7884839451914,2.96117770257939,École
0660257W,PUBLIC,121,42.582542832729,2.8675964708738,École
0660652A,PUBLIC,122,42.5099543763409,2.79187630365938,École
0660351Y,PUBLIC,109,42.770233306524,2.98567320871037,École
0660352Z,PUBLIC,83,42.7736386755641,2.9876203125813,École
0660565F,PUBLIC,93,42.6702537869646,2.99192843132003,École
0660256V,PUBLIC,153,42.6702537869646,2.99192843132003,École
0660343P,PUBLIC,49,42.8118701615054,2.5049562612731,École
0660440V,PUBLIC,154,42.655082241081,2.9560083052716,École
0660397Y,PUBLIC,301,42.8320807964294,2.9173124359721,École
0660186U,PUBLIC,13,42.5681527491668,2.32060570561078,École
0660367R,PUBLIC,94,42.6089762340293,2.77580930811279,École
0660369T,PUBLIC,282,42.6340519058584,2.75914258394834,École
0660477K,PUBLIC,83,42.7563314759077,2.99649328214795,École
0660203M,PUBLIC,104,42.5472801024435,2.39010074027919,École
0660671W,PUBLIC,187,42.7246281942036,2.98139915061496,École
0660377B,PUBLIC,70,42.5872957943706,2.84115948427665,École
0660608C,PUBLIC,89,42.6428159766799,2.52960910124564,École
0090102M,PUBLIC,85,42.7670062680656,1.48257012768576,École
0090107T,PUBLIC,39,42.7246158529364,1.83488970037139,École
0090621B,PUBLIC,22,42.899249784333,1.3154403437054,École
0090150P,PUBLIC,12,42.8650199129451,1.61731069453885,École
0090166G,PUBLIC,58,43.1499484265618,1.39401951759259,École
0090624E,PUBLIC,21,42.9737552678101,1.76847001406533,École
0090173P,PUBLIC,22,43.0289392227616,1.08622023555627,École
0090209D,PUBLIC,84,42.969159403185,1.16400973796577,École
0090212G,PUBLIC,161,42.9625608714262,1.60694962637007,École
0090214J,PUBLIC,75,42.9643681622121,1.60599991451864,École
0090414B,PUBLIC,184,43.1024440635145,1.65642241235046,École
0090252A,PUBLIC,57,43.0699836056373,1.16936060348669,École
0090254C,PUBLIC,51,42.9290234624582,1.85439029153938,École
0090225W,PUBLIC,77,43.1737869031054,1.40715005161513,École
0090368B,PUBLIC,47,42.9563732161456,1.92151248974582,École
0090509E,PUBLIC,41,42.9889500319701,1.90993990801919,École
0090158Y,PUBLIC,38,42.7841295989787,1.69059006125078,École
0090270V,PUBLIC,72,43.2735204058228,1.3488055901716,École
0090276B,PUBLIC,36,43.0448741587886,1.54462040457286,École
